year,lat,lon,dataset,PS_pathway,species,Genus,epithet,little_d13,big_D13,phosphorus,myco_type,N_fix,tmp,par,vpd,z,pre_mean,nitrogen_0.5cm,nitrogen_15.30cm,nitrogen_30.60cm,nitrogen_5.15cm,soc_0.5cm,soc_15.30cm,soc_30.60cm,soc_5.15cm,awi_pm_sr_yr,pet_pm_sr_yr,CO2
1909,39.908115,-105.5863338,Sheldon ,C3,Populus tremuloides,Populus,tremuloides,-25.93930703,19.91591198,11.7129,EcM-AM,NA,6.6325,977.4545394,0.629262441,3229,254.7410714,4.800000191,1.399999976,1.200000048,2.400000095,71,15.89999962,9.199999809,31.39999962,3707,1316,299.7
1909,41.561129,-73.033986,Sheldon ,C3,Pinus strobus,Pinus,strobus,-29.11496686,23.25194651,7.5559,EcM,NA,12.87115575,769.6560077,0.498901798,283,974.994643,NA,NA,NA,NA,NA,NA,NA,NA,10301,1190,299.7
1909,39.649366,-105.136319,Sheldon ,C3,Populus tremuloides,Populus,tremuloides,-26.63130478,20.64100158,11.7129,EcM-AM,NA,10.59856789,906.7733604,0.675387221,2135,367.5285717,2.299999952,1.200000048,0.800000012,1.5,30.70000076,13.80000019,9.800000191,20.79999924,2586,1770,299.7
1910,39.989827,-108.377899,Sheldon ,C3,Populus tremuloides,Populus,tremuloides,-25.5170649,19.32005602,21.5975,EcM-AM,NA,11.11118835,971.7540209,0.806152809,2229,281.1928569,2.299999952,1.200000048,0.899999976,1.600000024,21,9.600000381,6.5,15.10000038,2222,1565,300.1
1910,42.418949,-74.024687,Sheldon ,C3,Pinus strobus,Pinus,strobus,-27.20666207,21.18298025,7.51,EcM,NA,11.97099986,776.1869467,0.410998309,537,897.651786,7.699999809,1.399999976,0.899999976,2.5,113.5999985,15.10000038,10.89999962,29.60000038,9699,1040,300.1
1910,35.755441,-106.25652,Sheldon ,C3,Populus tremuloides,Populus,tremuloides,-24.8430216,18.61548653,15.056,EcM-AM,NA,11.34575622,967.6591947,0.809655051,2027,361.4714292,1.700000048,0.899999976,0.699999988,1.200000048,19.60000038,11.39999962,8.5,15.39999962,1565,1858,300.1
1911,54.655212,-60.970863,Sheldon ,C3,Pinus strobus,Pinus,strobus,-26.65651676,20.5133307,159.8880029,EcM,NA,7.055607993,758.2786944,0.223131151,152,446.4589279,7.800000191,2.700000048,1.899999976,5.199999809,52.40000153,25.20000076,15.60000038,47.90000153,14926,606,300.6
1911,44.909579,-85.277628,Sheldon ,C3,Pinus strobus,Pinus,strobus,-26.48440479,20.3329098,5.207,EcM,NA,12.11811224,806.4815069,0.398807422,286,614.094643,5.800000191,1.299999952,1,2.700000048,66.69999695,14.10000038,9.300000191,29.10000038,7650,1009,300.6
1911,41.881168,-71.380221,Sheldon ,C3,Populus tremuloides,Populus,tremuloides,-27.80239965,21.71616104,30.785,EcM-AM,NA,12.78751443,752.085618,0.513392662,35,1029.403571,NA,NA,NA,NA,NA,NA,NA,NA,9843,1224,300.6
1911,41.616046,-72.137745,Sheldon ,C3,Pinus strobus,Pinus,strobus,-28.92766095,22.94129908,5.06,EcM,NA,12.78089105,761.1124901,0.485735108,155,1006.844643,16.39999962,2.700000048,2,5.099999905,247.1999969,17.39999962,7.900000095,52.70000076,11203,1108,300.6
1911,44.9159,-85.278316,Sheldon ,C3,Thuja occidentalis,Thuja,occidentalis,-24.14071889,17.8824132,5.207,AM,NA,12.11811224,806.4815069,0.398807422,286,614.094643,5.800000191,1.299999952,1,2.700000048,66.69999695,14.10000038,9.300000191,29.10000038,7650,1009,300.6
1912,38.844613,-105.018399,Sheldon ,C3,Populus tremuloides,Populus,tremuloides,-27.44228147,21.3378405,8.49,EcM-AM,NA,9.481281888,961.052799,0.673147516,2612,309.9232146,5.400000095,1.299999952,1,2.299999952,95.40000153,19.10000038,12.10000038,33.09999847,4808,1199,301
1912,42.685859,-83.108279,Sheldon ,C3,Populus tremuloides,Populus,tremuloides,-25.92488292,19.74681683,26.816,EcM-AM,NA,12.91418876,809.8026642,0.469580672,273,669.476786,8.699999809,4,3.400000095,4.5,46,24.89999962,13.39999962,32.29999924,7101,1122,301
1913,44.38572,-103.718202,Sheldon ,C3,Populus tremuloides,Populus,tremuloides,-27.3674577,21.2010084,6.759,EcM-AM,NA,11.46698554,897.8525748,0.639369918,1664,366.1035713,6.699999809,1.399999976,1,2.400000095,78.80000305,20.79999924,12.39999962,42.5,4852,1432,301.3
